n	otype	in.subphrase	in.phrase_atom	in.phrase	in.clause_atom	in.clause	in.sentence_atom	in.sentence	in.half_verse	in.verse	in.chapter	in.book	distributional_parent	functional_parent	mother	book	chapter	code	det	dist	dist_unit	domain	freq_lex	freq_occ	function	g_cons	g_cons_utf8	g_lex	g_lex_utf8	g_nme	g_nme_utf8	g_pfm	g_pfm_utf8	g_prs	g_prs_utf8	g_uvf	g_uvf_utf8	g_vbe	g_vbe_utf8	g_vbs	g_vbs_utf8	g_word	g_word_utf8	gloss	gn	instruction	is_root	kind	kq_hybrid	kq_hybrid_utf8	label	language	languageISO	lex	lex0	lex_utf8	lexeme_count	ls	mother_object_type	nametype	nme	nu	number	pargr	pdp	pfm	phono	phono_trailer	prs	prs_gn	prs_nu	prs_ps	ps	qere	qere_trailer	qere_trailer_utf8	qere_utf8	rank_lex	rank_occ	rela	root	sp	st	suffix_gender	suffix_number	suffix_person	tab	trailer	trailer_utf8	txt	typ	uvf	vbe	vbs	verse	voc_lex	voc_lex_utf8	vs	vt
1303611	subphrase		911610	658093	517893	429680	1237644	1173906	607524	1414952	426647	426585			11223					-2																																							word																					rec																			
11224	word	1303611	911610	658093	517893	429680	1237644	1173906	607524	1414952	426647	426585	911610	658093									30386	24664		H	ה	HA-	הַ													HA-	הַ	the	NA							Hebrew	hbo	H	H	ה		none			n/a	NA	11224		art	n/a	ha		n/a	NA	NA	NA	NA					1	1			art	NA	NA	NA	NA						absent	n/a	n/a		HA	הַ	NA	NA
11225	word	1303611	911610	658093	517893	429680	1237644	1173906	607524	1414952	426647	426585	911610	658093									421	395		CMJM	שׁמים	C.@MAJ	שָּׁמַי	/IM	ִ֜מ											C.@MA81JIM	שָּׁמַ֗יִם	heavens	m							Hebrew	hbo	CMJM/	CMJM	שׁמים		none			JM	pl	11225		subs	n/a	ššāmˈayim	 	absent	unknown	unknown	unknown	NA					122	85			subs	a	unknown	unknown	unknown		 	 			absent	n/a	n/a		C@MAJIM	שָׁמַיִם	NA	NA
429681	clause				517894		1237644	1173906	607524	1414952	426647	426585		1173906	658093					-4	phrase_atoms	Q																										VC											phrase				2																	Attr										?NQ	xQt0								
517894	clause_atom					429681	1237644	1173906	607524	1414952	426647	426585	1237644	429681	517893			12		-1																										..	FALSE																2221	1.4.1																							6				xQt0								
658094	phrase		911611		517894	429681	1237644	1173906	607524	1414952	426647	426585		429681					NA		clause_atoms				Rela																																						1																	NA											CP								
911611	phrase_atom			658094	517894	429681	1237644	1173906	607524	1414952	426647	426585	517894	658094					NA		clause_atoms																																										6863																	NA											CP								
11226	word		911611	658094	517894	429681	1237644	1173906	607524	1414952	426647	426585	911611	658094									5500	5547		>CR	אשׁר	>:ACER	אֲשֶׁר													>:ACE63R	אֲשֶׁ֨ר	<relative>	NA							Hebrew	hbo	>CR	>CR	אשׁר		none			n/a	NA	11226		conj	n/a	ʔᵃšˌer	 	n/a	NA	NA	NA	NA					9	8			conj	NA	NA	NA	NA		 	 			absent	n/a	n/a		>:ACER	אֲשֶׁר	NA	NA
658095	phrase		911612		517894	429681	1237644	1173906	607524	1414952	426647	426585		429681					NA		clause_atoms				PreO																																						2																	NA											VP								
911612	phrase_atom			658095	517894	429681	1237644	1173906	607524	1414952	426647	426585	517894	658095					NA		clause_atoms																																										6864																	NA											VP								
11227	word		911612	658095	517894	429681	1237644	1173906	607524	1414952	426647	426585	911612	658095									965	1		LQXNJ	לקחני	L:Q@X	לְקָח					#NAME?	ַנִי			[				L:Q@XA61NIJ	לְקָחַ֜נִי	take	m							Hebrew	hbo	LQX[	LQX	לקח		none			absent	sg	11227		verb	absent	lᵊqāḥˈanî	 	NJ	unknown	sg	p1	p3					48	12851			verb	NA	unknown	sg	p1		 	 			absent		absent		LQX	לקח	qal	perf
658096	phrase		911613		517894	429681	1237644	1173906	607524	1414952	426647	426585		429681					det		clause_atoms				Cmpl																																						3																	NA											PP								
911613	phrase_atom			658096	517894	429681	1237644	1173906	607524	1414952	426647	426585	517894	658096					det		clause_atoms																																										6865																	NA											PP								
1303614	subphrase		911613	658096	517894	429681	1237644	1173906	607524	1414952	426647	426585																																															NA																					NA																			
11228	word	1303614	911613	658096	517894	429681	1237644	1173906	607524	1414952	426647	426585	911613	658096									7562	6236		M	מ	MI-	מִ													MI-	מִ	from	NA							Hebrew	hbo	MN	MN	מן		none			n/a	NA	11228		prep	n/a	mi		absent	unknown	unknown	unknown	NA					5	7			prep	NA	unknown	unknown	unknown						absent	n/a	n/a		MIN	מִן	NA	NA
1303612	subphrase	1303614	911613	658096	517894	429681	1237644	1173906	607524	1414952	426647	426585																																															NA																					NA																			
11229	word	1303612	911613	658096	517894	429681	1237644	1173906	607524	1414952	426647	426585	911613	658096									2063	1595		BJT	בית	B.;JT	בֵּית	/	֜											B.;74JT	בֵּ֣ית	house	m							Hebrew	hbo	BJT/	BJT	בית		none				sg	11229		subs	n/a	bbˈêṯ	 	absent	unknown	unknown	unknown	NA					26	24			subs	c	unknown	unknown	unknown		 	 			absent	n/a	n/a		B.AJIT	בַּיִת	NA	NA
1303613	subphrase	1303614	911613	658096	517894	429681	1237644	1173906	607524	1414952	426647	426585			11229					-1																																							word																					rec																			
11230	word	1303613	911613	658096	517894	429681	1237644	1173906	607524	1414952	426647	426585	911613	658096									1217	218		>BJ	אבי	>@B	אָב	/	֜			#NAME?	ִי							>@BIJ02	אָבִי֮	father	m							Hebrew	hbo	>B/	>B	אב		none				sg	11230		subs	n/a	ʔāvˈî	 	J	unknown	sg	p1	NA					35	195			subs	a	unknown	sg	p1		 	 			absent	n/a	n/a		>@B	אָב	NA	NA
11231	word		911613	658096	517894	429681	1237644	1173906	607524	1414952	426647	426585	911613	658096									50272	50238		W	ו	W.-	וּ													W.-	וּ	and	NA							Hebrew	hbo	W	W	ו		none			n/a	NA	11231		conj	n/a	û		n/a	NA	NA	NA	NA									conj	NA	NA	NA	NA						absent	n/a	n/a		W:	וְ	NA	NA
