n	otype	in.subphrase	in.phrase_atom	in.phrase	in.clause_atom	in.clause	in.sentence_atom	in.sentence	in.half_verse	in.verse	in.chapter	in.book	distributional_parent	functional_parent	mother	book	chapter	code	det	dist	dist_unit	domain	freq_lex	freq_occ	function	g_cons	g_cons_utf8	g_lex	g_lex_utf8	g_nme	g_nme_utf8	g_pfm	g_pfm_utf8	g_prs	g_prs_utf8	g_uvf	g_uvf_utf8	g_vbe	g_vbe_utf8	g_vbs	g_vbs_utf8	g_word	g_word_utf8	gloss	gn	instruction	is_root	kind	kq_hybrid	kq_hybrid_utf8	label	language	languageISO	lex	lex0	lex_utf8	lexeme_count	ls	mother_object_type	nametype	nme	nu	number	pargr	pdp	pfm	phono	phono_trailer	prs	prs_gn	prs_nu	prs_ps	ps	qere	qere_trailer	qere_trailer_utf8	qere_utf8	rank_lex	rank_occ	rela	root	sp	st	suffix_gender	suffix_number	suffix_person	tab	trailer	trailer_utf8	txt	typ	uvf	vbe	vbs	verse	voc_lex	voc_lex_utf8	vs	vt
5490	word		907856	654515	516687	428506	1236731	1173001	606943	1414653	426635	426585	907856	654515									20069	979		LK	לך	L	ל					+:K@	ְכָ							L:K@91	לְךָ֛	to	NA							Hebrew	hbo	L	L	ל		none			n/a	NA	5490		prep	n/a	lᵊḵˈā	 	K	m	sg	p2	NA					2	35			prep	NA	m	sg	p2		 	 			absent	n/a	n/a		L:	לְ	NA	NA
654516	phrase		907857		516687	428506	1236731	1173001	606943	1414653	426635	426585		428506					det		clause_atoms				Cmpl																																						3																	NA											PP								
907857	phrase_atom			654516	516687	428506	1236731	1173001	606943	1414653	426635	426585	516687	654516					det		clause_atoms																																										3109																	NA											PP								
1302316	subphrase		907857	654516	516687	428506	1236731	1173001	606943	1414653	426635	426585																																															NA																					NA																			
1302314	subphrase	1302316	907857	654516	516687	428506	1236731	1173001	606943	1414653	426635	426585																																															NA																					NA																			
5491	word	1302314	907857	654516	516687	428506	1236731	1173001	606943	1414653	426635	426585	907857	654516									7562	6236		M	מ	M;-	מֵ													M;-	מֵ	from	NA							Hebrew	hbo	MN	MN	מן		none			n/a	NA	5491		prep	n/a	mē		absent	unknown	unknown	unknown	NA					5	7			prep	NA	unknown	unknown	unknown						absent	n/a	n/a		MIN	מִן	NA	NA
5492	word	1302314	907857	654516	516687	428506	1236731	1173001	606943	1414653	426635	426585	907857	654516									2504	42		>RYK	ארצך	>AR:Y	אַרְץ	/	֜			+:K@	ְכָ							>AR:Y:K@71	אַרְצְךָ֥	earth	unknown							Hebrew	hbo	>RY/	>RY	ארץ		none				sg	5492		subs	n/a	ʔarṣᵊḵˌā	 	K	m	sg	p2	NA					22	926			subs	a	m	sg	p2		 	 			absent	n/a	n/a		>EREY	אֶרֶץ	NA	NA
5493	word	1302316	907857	654516	516687	428506	1236731	1173001	606943	1414653	426635	426585	907857	654516									50272	50238		W	ו	W.-	וּ													W.-	וּ	and	NA							Hebrew	hbo	W	W	ו		none			n/a	NA	5493		conj	n/a	û		n/a	NA	NA	NA	NA									conj	NA	NA	NA	NA						absent	n/a	n/a		W:	וְ	NA	NA
1302315	subphrase	1302316	907857	654516	516687	428506	1236731	1173001	606943	1414653	426635	426585			1302314					-3																																							subphrase																					par																			
5494	word	1302315	907857	654516	516687	428506	1236731	1173001	606943	1414653	426635	426585	907857	654516									7562	6236		M	מ	MI-	מִ													MI-	מִ	from	NA							Hebrew	hbo	MN	MN	מן		none			n/a	NA	5494		prep	n/a	mi		absent	unknown	unknown	unknown	NA					5	7			prep	NA	unknown	unknown	unknown						absent	n/a	n/a		MIN	מִן	NA	NA
